uc022bqo.2	ENST00000389680
uc004cor.1	ENST00000387342
uc004cos.5	ENST00000387347
uc031tga.1	ENST00000361624
uc011mfi.2	ENST00000361739
uc022bqu.2	ENST00000361227
uc004cov.5	ENST00000361381
uc004cow.2	ENST00000387449
uc004cox.4	ENST00000361567
uc022bqw.1	ENST00000361789
uc022bqq.1	ENST00000387392
uc022bqr.1	ENST00000387400
uc022bqv.1	ENST00000387459
uc022bqx.1	ENST00000387461
uc011mfg.1	ENST00000400678
uc004con.1	ENST00000400678
uc011mgu.1	ENST00000602027
uc002qvo.3	ENST00000400776
uc021vde.1	ENST00000374457
uc021vdf.1	ENST00000374457
uc021vdg.1	ENST00000374457
uc002qvr.2	ENST00000374457
uc021vdh.1	ENST00000433682
uc021vdj.1	ENST00000374449
uc021vdk.1	ENST00000374449
uc011mgh.2	ENST00000368515
uc011mgi.2	ENST00000368515
uc010euy.2	ENST00000400875
uc002qtt.2	ENST00000344867
uc002qts.2	ENST00000344867
uc002qtv.3	ENST00000400851
uc010yic.2	ENST00000400848
uc002quc.5	ENST00000400854
uc010evd.3	ENST00000400854
uc002quh.4	ENST00000400852
uc002que.4	ENST00000400852
uc002quf.4	ENST00000400852
uc010eve.3	ENST00000400852
uc002qug.4	ENST00000400852
uc002qud.4	ENST00000400853
uc010evf.3	ENST00000400851
uc021vdb.1	ENST00000400848
uc010yie.2	ENST00000400848
uc010evg.1	ENST00000400848
uc010evh.1	ENST00000400848
uc002qui.2	ENST00000400848
uc002quk.1	ENST00000400846
uc002qup.1	ENST00000400829
uc011mfn.2	ENST00000400681
uc003jah.2	ENST00000400681
uc003jaj.2	ENST00000400681
uc022brg.1	ENST00000459341
uc022brh.1	ENST00000459341
uc011mfl.2	ENST00000327822
uc002kgk.4	ENST00000391571
uc022brb.1	ENST00000346061
uc011mfq.2	ENST00000418749
uc011mge.2	ENST00000368372
uc011mgf.1	ENST00000368372
uc011mfz.1	ENST00000451927
uc011mga.1	ENST00000451927
uc011mgb.1	ENST00000451927
uc011mgc.1	ENST00000451927
uc031tgg.1	ENST00000391574
uc011mgd.2	ENST00000391574
uc031tgh.1	ENST00000391574
uc003woj.2	ENST00000400890
uc003wok.2	ENST00000400890
uc001vux.3	ENST00000391545
uc022brj.1	ENST00000580641
uc011mfy.2	ENST00000403385
uc022brk.1	ENST00000459466
uc003izx.3	ENST00000400767
uc003izy.3	ENST00000400767
uc003jab.3	ENST00000400839
uc011clu.3	ENST00000400839
uc021xvt.2	ENST00000400839
uc010yih.2	ENST00000545452
uc010yii.1	ENST00000545452
uc031rnl.1	ENST00000425945
uc010yij.1	ENST00000425945
uc021vdl.1	ENST00000425945
uc011fry.2	ENST00000419260
uc011frz.2	ENST00000419605
uc011fsa.2	ENST00000451272
uc011fsc.2	ENST00000443442
uc011fsf.2	ENST00000377138
uc031ssl.1	ENST00000491531
uc011fsh.1	ENST00000421808
uc011fsg.2	ENST00000412956
uc021zmr.1	ENST00000457219
uc011fsk.2	ENST00000457219
uc021zms.1	ENST00000457219
uc011fsn.2	ENST00000580950
uc011fso.1	ENST00000411574
uc011fsu.2	ENST00000550349
uc011fsv.2	ENST00000550349
uc011fsw.2	ENST00000550349
uc011fsx.2	ENST00000425145
uc011fta.2	ENST00000550349
uc011fsz.2	ENST00000550349
uc011ftc.2	ENST00000551175
uc011ftb.2	ENST00000551175
uc011fte.2	ENST00000550349
uc011ftf.2	ENST00000550349
uc011ftg.2	ENST00000551175
uc011fti.2	ENST00000551175
uc011fth.2	ENST00000551175
uc011ftj.2	ENST00000551175
uc011ftk.2	ENST00000548042
uc031ssm.1	ENST00000551832
uc011ftn.2	ENST00000422711
uc011fto.2	ENST00000422711
uc011ftp.2	ENST00000428296
uc011ftq.1	ENST00000485297
uc011ftr.1	ENST00000428296
uc011ftx.1	ENST00000413957
uc011fty.2	ENST00000482137
uc011fua.1	ENST00000420559
uc011fuh.1	ENST00000457132
uc011fub.1	ENST00000546634
uc011fuc.1	ENST00000420559
uc011fud.1	ENST00000423373
uc011fue.1	ENST00000423373
